list size, steps taken, cpu time
10,8,0.000018
10,8,0.000017
10,8,0.000018
10,8,0.000019
10,8,0.000018
100,14,0.000022
100,14,0.000022
100,14,0.000022
100,14,0.000022
100,14,0.000021
500,18,0.00003
500,18,0.000024
500,18,0.000025
500,18,0.000026
500,18,0.000024
1000,20,0.000031
1000,20,0.000024
1000,20,0.000028
1000,20,0.000028
1000,20,0.000025
2000,22,0.000043
2000,22,0.000028
2000,22,0.000029
2000,22,0.000036
2000,22,0.000028
5000,26,0.000032
5000,26,0.000031
5000,26,0.000033
5000,26,0.000039
5000,26,0.000036
10000,28,0.00004
10000,28,0.000038
10000,28,0.000045
10000,28,0.000034
10000,28,0.000038
50000,32,0.000058
50000,32,0.000105
50000,32,0.000056
50000,32,0.000073
50000,32,0.000056
100000,34,0.000068
100000,34,0.000066
100000,34,0.000066
100000,34,0.000063
100000,34,0.000066
200000,36,0.000069
200000,36,0.00007
200000,36,0.00008
200000,36,0.000069
200000,36,0.000089
350000,38,0.000095
350000,38,0.000073
350000,38,0.000073
350000,38,0.000076
350000,38,0.000069
500000,38,0.000069
500000,38,0.000069
500000,38,0.000071
500000,38,0.000068
500000,38,0.000079
1000000,40,0.000066
1000000,40,0.000077
1000000,40,0.000074
1000000,40,0.000073
1000000,40,0.00007
