list size, steps taken, cpu time,swaps
10,24,0.0000471,21
10,24,0.00004775,23
100,654,0.000666,420
100,656,0.00067095,433
500,4914,0.004239,2980
500,4961,0.0042545,2996
1000,11056,0.00964205,6639
1000,10920,0.0093142,6654
2000,24541,0.02000795,14332
2000,24751,0.0202457,14245
5000,70824,0.05502615,38925
5000,71674,0.05502485,39642
10000,157475,0.1184676,85486
10000,156112,0.1194678,87422
50000,987478,0.6981618,474839
50000,970256,0.6782083,470112
100000,2214202,1.49709445,971636
100000,2221902,1.51600275,977078
